country;region;2016;
Australia;Australia and Oceania;3;
New Zealand;Australia and Oceania;4;
Benin;Sub-Saharan Africa;102;
Botswana;Sub-Saharan Africa;54;
Burkina-Faso;Sub-Saharan Africa;72;
Burundi;Sub-Saharan Africa;-;
Gambia;Sub-Saharan Africa;-;
Ghana;Sub-Saharan Africa;77;
Guinea;Sub-Saharan Africa;69;
Zambia;Sub-Saharan Africa;63;
Zimbabwe;Sub-Saharan Africa;108;
Kenya;Sub-Saharan Africa;12;
Comoros;Sub-Saharan Africa;-;
C?te-d'Ivoire;Sub-Saharan Africa;104;
Lesotho;Sub-Saharan Africa;-;
Liberia;Sub-Saharan Africa;52;
Mauritius;Sub-Saharan Africa;-;
Mauritania;Sub-Saharan Africa;88;
Madagascar;Sub-Saharan Africa;132;
Malawi;Sub-Saharan Africa;38;
Mali;Sub-Saharan Africa;99;
Mozambique;Sub-Saharan Africa;67;
Namibia;Sub-Saharan Africa;-;
Niger;Sub-Saharan Africa;115;
Nigeria;Sub-Saharan Africa;56;
Rwanda;Sub-Saharan Africa;116;
Senegal;Sub-Saharan Africa;95;
Somaliland;Sub-Saharan Africa;58;
Sudan;Sub-Saharan Africa;-;
Sierra-Leone;Sub-Saharan Africa;46;
Tanzania;Sub-Saharan Africa;57;
Togo;Sub-Saharan Africa;103;
Uganda;Sub-Saharan Africa;26;
Ethiopia;Sub-Saharan Africa;84;
SOUTH AFRICA;Sub-Saharan Africa;61;
South Sudan;Sub-Saharan Africa;48;
Algeria;Middle East and North Africa;-;
Bahrain;Middle East and North Africa;-;
Egypt;Middle East and North Africa;112;
Israel;Middle East and North Africa;43;
Jordan;Middle East and North Africa;71;
Iraq;Middle East and North Africa;112;
Iran;Middle East and North Africa;45;
Yemen;Middle East and North Africa;138;
Qatar;Middle East and North Africa;-;
Kuwait;Middle East and North Africa;19;
Lebanon;Middle East and North Africa;80;
Libya;Middle East and North Africa;44;
Malta;Middle East and North Africa;16;
Morocco;Middle East and North Africa;123;
U.A.E;Middle East and North Africa;10;
Palestine;Middle East and North Africa;139;
Saudi Arabia;Middle East and North Africa;41;
Syria;Middle East and North Africa;66;
Tunisia;Middle East and North Africa;122;
 Vietnam;Eastern Asia;64;
Hong Kong;Eastern Asia;-;
Indonesia;Eastern Asia;7;
Cambodia;Eastern Asia;98;
China;Eastern Asia;140;
Republic of China;Eastern Asia;50;
Laos;Eastern Asia;-;
Malaysia;Eastern Asia;22;
Mongolia;Eastern Asia;27;
Myanmar;Eastern Asia;1;
Republic of Korea;Eastern Asia;48;
North Cyprus;Eastern Asia;42;
Singapore;Eastern Asia;28;
Thailand;Eastern Asia;37;
Philippines;Eastern Asia;47;
Japan;Eastern Asia;114;
Albania;Eastern Europe;105;
Bulgaria;Eastern Europe;129;
Bosnia and Herzegovina;Eastern Europe;128;
Poland;Eastern Europe;109;
Republic of Kosovo;Eastern Europe;60;
Romania;Eastern Europe;93;
North Macedonia;Eastern Europe;119;
Serbia;Eastern Europe;135;
Slovakia;Eastern Europe;124;
Slovenia;Eastern Europe;40;
Croatia;Eastern Europe;127;
Montenegro;Eastern Europe;133;
Czechia;Eastern Europe;121;
Austria;Western Europe;30;
Belgium;Western Europe;32;
United Kingdom;Western Europe;8;
Hungary;Western Europe;134;
Germany;Western Europe;21;
Greece;Western Europe;137;
Denmark;Western Europe;20;
Ireland;Western Europe;9;
Iceland;Western Europe;17;
Spain;Western Europe;79;
Italy;Western Europe;82;
Cyprus;Western Europe;35;
Luxembourg;Western Europe;49;
Netherlands;Western Europe;13;
Norway;Western Europe;14;
Portugal;Western Europe;90;
Turkey;Western Europe;-;
Finland;Western Europe;24;
France;Western Europe;81;
Switzerland;Western Europe;23;
Sweden;Western Europe;25;
Haiti;Caribbean;53;
Dominican Republic;Caribbean;36;
Puerto-Rico;Caribbean;-;
Trinidad and Tobago;Caribbean;-;
Jamaica;Caribbean;-;
Azerbaijan;Post-Soviet space;131;
Armenia;Post-Soviet space;130;
Belarus;Post-Soviet space;100;
Georgia;Post-Soviet space;120;
Kazakhstan;Post-Soviet space;96;
Kyrgyzstan;Post-Soviet space;34;
Latvia;Post-Soviet space;113;
Lithuania;Post-Soviet space;124;
Moldavia;Post-Soviet space;110;
Russia;Post-Soviet space;126;
Tajikistan;Post-Soviet space;87;
Turkmenistan;Post-Soviet space;15;
Uzbekistan;Post-Soviet space;11;
Ukraine;Post-Soviet space;106;
Estonia;Post-Soviet space;118;
Canada;North America;6;
Mexico;North America;107;
UNITED STATES;North America;2;
Belize;Central America;-;
Guatemala;Central America;29;
Honduras;Central America;74;
Costa-Rica;Central America;62;
Nicaragua;Central America;76;
Panama;Central America;33;
El Salvador;Central America;85;
Angola;Middle Africa;-;
Gabon;Middle Africa;89;
Democratic Republic of the Congo;Middle Africa;136;
Cameroon;Middle Africa;51;
Congo;Middle Africa;136;
CAR;Middle Africa;-;
Chad;Middle Africa;111;
Afghanistan;Southern Asia;78;
Bangladesh;Southern Asia;94;
Bhutan;Southern Asia;18;
India;Southern Asia;91;
Nepal;Southern Asia;39;
Pakistan;Southern Asia;92;
Sri-Lanka;Southern Asia;5;
Argentina;South America;83;
Bolivia;South America;70;
Brazil;South America;68;
Venezuela;South America;117;
Colombia;South America;73;
Paraguay;South America;101;
Peru;South America;65;
Suriname;South America;-;
Uruguay;South America;58;
Chile;South America;55;
Ecuador;South America;97;
